node	ismarine
n743743	False
n753	False
Variabilichromis_moorii	False
n757757	False
Cynodonichthys_magdalenae	False
n772772	False
Aphyosemion_ocellatum	False
n777777	False
n779	False
n780	False
Pachypanchax_playfairii	False
n782782	False
n791	False
n793793	False
n794794	False
Atlantirivulus_haraldsiolii	False
Atlantirivulus_santensis	False
Diapterus_auratus	False
Eugerres_plumieri	False
n803	True
n805	True
n811811	True
Ekemblemaria_nigra	True
n819	True
Malacoctenus_aurolineatus	True
n852852	True
Protemblemaria_bicirrus	True
n856	True
Neoclinus_blanchardi	True
n858858	True
n859859	True
n864	True
Gibbonsia_metzi	True
n869	False
n893	False
n894894	True
Tigrigobius_multifasciatus	True
Tomicodon_humeralis	True
Tomicodon_myersi	True
n917	True
Praealticus_striatus	True
n935	True
Plagiotremus_tapeinosoma	True
Lepidonectes_corallicola	True
n947947	False
Cirripectes_castaneus	True
Cirripectes_stigmaticus	True
n951951	True
Ophioblennius_steindachneri	True
n957957	False
Stiphodon_hydoreibatus	False
n962	False
n963963	False
n970	True
n973973	True
n977977	True
Fusigobius_signipinnis	True
n16	False
n1919	False
Chanodichthys_erythropterus	False
Culter_alburnus	False
n35	False
n3535	False
Chanodichthys_mongolicus	False
Culter_flavipinnis	False
n4040	False
n4141	False
Hemigrammocypris_rasborella	False
Metzia_formosae	False
n5757	False
Algansea_lacustris	False
n9090	False
Rhinichthys_atratulus	False
n9191	False
Nocomis_leptocephalus	False
n95	False
n97	False
n103103	False
n108108	False
Erimystax_dissimilis	False
Pogonichthys_macrolepidotus	False
Rhinichthys_cataractae	False
Rhinichthys_osculus	False
n115	False
Richardsonius_balteatus	False
n160	False
n164164	False
n166	False
n173	False
n184	False
n206	False
n223	False
Garra_fuliginosa	False
n229229	False
n231231	False
n233233	False
Pseudogyrinocheilus_prochilus	False
n241	False
Vaillantella_maassi	False
Botia_dario	False
Canthophrys_gongota	False
Devario_kakhienensis	False
Devario_malabaricus	False
n280280	False
Cyprinus_carpio	False
n281281	False
Labeo_rohita	False
Cirrhinus_cirrhosus	False
Cirrhinus_mrigala	False
n284284	False
Labeo_yunnanensis	False
Amphiprion_akindynos	True
Dascyllus_trimaculatus	True
n315	True
Plectroglyphidodon_dickii	True
n324	True
Scorpaenodes_minor	True
n578	True
n582	True
n586586	True
n587	True
Lophius_budegassa	False
Lophius_piscatorius	False
Enoplosus_armatus	True
n595	True
n599	False
n601601	True
Lactoria_cornuta	True
Ostracion_meleagris	True
n605605	False
n608	False
n611611	True
n627627	True
n628628	True
Monotaxis_grandoculis	True
n631	True
n667	True
n669669	True
n670	True
n672	True
Xyrichtys_novacula	True
n676	True
Latridopsis_ciliaris	True
n677677	True
Canthigaster_papua	True
n680680	True
Aracana_aurita	True
Caprichthys_gymnura	True
Capropygia_unistriata	True
n701	False
n743	False
n744	False
Sarotherodon_melanotheron	False
n753753	False
Ophthalmotilapia_ventralis	False
n758	False
Rivulus_roloffi	False
n773	False
n775775	False
Callopanchax_occidentalis	False
n778	False
Scriptaphyosemion_banforense	False
Scriptaphyosemion_guignardi	False
Pachypanchax_omalonotus	False
Pachypanchax_sakaramyi	False
n783	False
n790790	False
n791791	False
Trigonectes_balzanii	False
n794	False
Melanorivulus_pictus	False
Melanorivulus_punctatus	False
Melanorivulus_violaceus	False
n803803	True
Takifugu_stictonotus	True
Takifugu_pardalis	True
Takifugu_rubripes	False
n812	True
n813	True
n819819	True
n824	True
Coralliozetus_micropes	True
n853	True
n856856	True
Mccoskerichthys_sandae	True
Blennophis_striatus	True
n859	True
n860	True
n861	True
Gibbonsia_elegans	True
Gibbonsia_montereyensis	True
n869869	False
n892	True
n893893	True
Ginsburgellus_novemlineatus	False
n895	True
Tigrigobius_macrodon	True
n917917	True
Andamia_tetradactylus	True
n935935	True
Plagiotremus_azaleus	True
Omobranchus_anolius	False
Omobranchus_obliquus	False
Nannosalarias_nativitatis	True
Ophioblennius_macclurei	True
n958	False
Stiphodon_elegans	False
n962962	False
n963	False
Lentipes_armatus	False
n964	False
n970970	True
Amblyeleotris_periophthalma	True
n974	True
Ctenogobiops_tangaroai	True
Asterropteryx_semipunctata	True
Cryptocentrus_inexplicatus	True
n1616	False
Sarcocheilichthys_soldatovi	False
n20	False
Tinca_tinca	False
Opsariichthys_bidens	False
Opsariichthys_uncirostris	False
Opsariichthys_evolans	False
Opsariichthys_pachycephalus	False
